name,price,discount,slashPrice
Oatside Barista Oat Milk 1L Twinpack FREE Sir Thomas Lipton,Rp 99.000,45%,Rp 180.500
Nongshim Farmer's Heart DC Package 3,Rp 97.510,29%,Rp 137.510
Nongshim Farmer's Heart DC Package 2,Rp 67.550,22%,Rp 86.850
Nongshim Farmer's Heart DC Package 1,Rp 40.530,12%,Rp 46.030
Hershey Kisses Almond 2x146 gr Free Kisses Doll,Rp 224.000,,
Hershey Kisses M. Choco 2x146 gr Free Kisses Doll,Rp 224.000,,
Nong Shim Shin Ramyun Spicy Mushroom 120 gr Multipack FREE Planner,Rp 68.350,39%,Rp 112.500
Nong Shim Cup Clay Pot Ramyun 70 gr FREE Idol Photo Cards,Rp 15.650,39%,Rp 25.650
Nong Shim Cup Shin Ramyun Spicy Mushroom 72 gr FREE Idol Photo Cards,Rp 15.650,39%,Rp 25.650
Nong Shim Cup Kimchi Ramyun 70 gr FREE Idol Photo Cards,Rp 15.650,39%,Rp 25.650
